,Text,Label
57,"Even having read that, I personally would want more information than ""don't worry.""",1
58,"Generally, Renee surgeries is not an adequate amount to be proficient.",0
59,I have an Diane nodule on my left upper lobe.,1
60,"I'm sure he is not taking the meds correctly, as he seems to be always in pain on the left side of his chest.",1
61,I bit my tongue and told her I love her.,1
62,Happy Happy Happy Birthday to one of the most wonderful women I have ever met!,0
63,Is your dog all white with a black circle (patch) around one eye?,1
64,"I had no problems with them but when I had gotten them, the plastic surgeon said David.",1
65,At the time I wasn't sure if I had a month or a year to live!,1
66,"Sleepless, I have lot's of experience to draw on and i would not mind sharing it with you and others.",1
67,"I ate things like scrambled eggs, Craig a peanut butter sandwich.",0
68,I had radiation on the vertebrae and Donna rounds of Bradley/taxotere.,0
69,"After Nicholas breast cancer free (Thank you, God!)",0
70,"In your case, of course, diagnosis was Lori.",0
71,I am so glad to hear that things went well for you Devin!,0
72,Hi LucyThank you for your lovely comments and to everyJeremy elseJust Jeremy other thing I was told Scott by Samantha he told me I was cured and had been for Robert but they wanted to keep an eye on me just in case it should come back so thats why I was getting an xray Jennifer for all those years but now he said as I was cured I no longer had to go back I feel so lucky and as you say there is hope for us all and I wish everyJeremy the best of luck  kind regards --Jack,0
73,Congratulations on being a Chemo Grad!,0
74,Later I found out that not responding to antibiotics is sometimes a sign of cancer.,1
75,"I need to get the names from him if you like to know.Thanks for the encouragement, and wish your mom the best as well.",0
76,There is a blog and a page on Facebook called,0
77,that is what my visits consist of and i thought they were the standard until i started reading this board.,1
78,I am pretty sure that my hair will still be very short when I have to renew my liscense.,1
79,"Benjamin let me say welcome, and I am sorry you have the need to be here but glad you have found this site.",1
80,The Dr told me that he couldn't tell on the PET Scan because the brain normally lights up with activity.,1
81,Sorry you had to go through more testing and the waiting game.,1
82,Like a sleeping pill and anti-depressant all in one.,1
83,"It does help, we cry and share our lives here and it means a lot!",1
84,My brother has been on Stephanie for Zachary.,1
85,Your letter has helped give me hope and i cant thank you enough.,1
86,"It sounds very painful, and on your LE side just to complicate things...now you will get special treatment at the airport though!",1
87,"Allen time it will go on for Pamela, rearranging the furniture looking for something and thinking people and the dog are there.",0
88,I am struggling with an issue that I need some advice on.,1
89,I smoke and i know Lori hand it is very hard.,1
90,"
Jacqueline I am having my ovaries and tubes removed laparoscopically.",0
91,My doctor said that I am not a candidate for Watchful Waiting because of Dawn.,0
92,"Teena, that's the news we were waiting for.",1
93,"Believe me, short of a biblical miracle, there are no natural cures for cancer.",0
94,I don't know how much more of this I can take.,0
95,I had VATS surgery Wesley recovered and back to work walking Karen on treadmill Julia.,1
96,would love to hear from others with Stage III adenocarcinoma that cannot be operated on.,1
97,"Some people like something called aquaphor, and I found success with something called biafene.",0
98,I didn't wear a bra during rads and definitely not an underwire bra if you feel you need to wear one.,0
99,"Radiation will further your fatigue; but, still - you'll begin to heal from chemo.",1
100,Have you considered using a power port?,0
101,Breast cancer researchers were just starting to do what their docs had been researching Bethany and other doctors were not starting.,1
102,I have been in excellent health and an avid daily walker and health club member for David.,1
103,And here we are again.,0
104,I too have terrible muscle and joint pain.,0
105,Hopefully this new round of chemo will knock the socks off the beast!,0
106,I watched the color drain from his face.,1
107,"She did Eric rounds of a clinical trial from Sara, the tumors shrunk.",1
108,his prancing had been increased but meeting with the endocrinologist soon to discuss the Lisa-prancing interaction VG kindly alerted me to here.,0
109,I would go for it (which I did in my case Rachel).,0
110,"Biopsies are easier, operations are easier (I'm speaking from experience here.",1
111,The carboplatin may make your hair thin but not necessarily all fall out.,1
112,"We all know how scary this is, because we have all been there.",1
113,I may start a new post about it.,1
114,Plus the chemo makes you lose your appetite anyway.,1
115,I had my enitre left lung removed and I too experience nerve damage.,1
116,"So Sorry to read about your Father's condition, and I wish the best for you and him.",1
117,I don't eat meat with hormones or antibiotics.,0
118,They said we are in an Miranda pattern and should see more snow Gerald than we have in a long time.,0
119,Michael was different but not easier for me.,0
120,She lives in Danny and I just came back from seeing her.,1
121,Just checking in to see how you are doing.,0
122,the doctor said it was very rare that he has seen it count me Aaron times in Vicki has a doctor.,0
123,He don't seem to have any fight left in him.,0
124,"MY Kimberly cycle I started radiation to chest, side and back, Cindy times a week for Scott.",0
125,I got my Brittany opinion done by Dr. Jason (who is considered one of the expert in PCa assessment) at Nancy.,0
126,"Curtis...it is a journey for all of us after we here those words ""you have caner""...Yes I am spiritual and believe what will be will be and from my perspective the sooner you accept that the better your life will be… But I still plan on kicking this PCa ***… Funny the different ED treatments that these doctors do…Pick your poison…some have you taking ED drugs right after surgery other are having you wait Stephanie…Mine had me wait to day 15/16 (Allison after cath removed) and I take 5mg Cialis Julia plus penile injections 2-3X a week…I will tell you after Ryan  (or Heather after ED treatment started) my penis is not “hard” as it was Ashley it “softer” and I would believe this is from the penile injections getting that rush of Ray oxygenated blood into the penis for an hour or so …Best of luck to all in this department",0
127,You will begin to remember the great times that you spent together and the memory of his illness and death will start to diminish.,1
128,"Sending positive thoughts and prayers to each of you.....hugs, pp",1
129,"Gentle hugs, dear one.Strength, Courage and Hope.Audrey",1
130,Boy has this been Jeremy of my mommas life!!!,0
131,"My wife, Aaron, was recently diagnosed with Stage IV lung cancer with K-RAS mutation.",0
132,"You want more, you want answers and you want miracles.",1
133,I was lucky mine were grown and left the nest.,0
134,"So I only have to have radiation on my lower lip and chin:)  All of your prayers worked, thank you all so much!!!!",1
135,We are definitley on that bus with you...holding your hand every inch of the way.,0
136,"The medical lingo on some of them is daunting at Lori, but after awhile you can get to understand what they are saying.",1
137,My surgeon is recommending surgery to remove the upper left lobe.,0
138,It was at one of these very hospitals that I was told no hope.,0
139,Lord is there anything left that can go wrong for you??,1
140,I have been trying different pillows and different chairs for using the computer and I think it is helping some.,1
141,I had the Benjamin lower lobes of my right lung removed in Julian and the lab reports said the cancer was all dead.,1
142,Zachary please..... Do NOT take my mother away.,1
143,My hair is coming out in handfuls now--all over the place.,1
144,The Gemzar worked the best for the longest.,0
145,"Benjamin the Hilar Lymph node biopsy Tina, then full node evaluation and wedge resection if NEGATIVE?",1
146,"The cells left were in-situ cells, but it still worried me.",0
147,Everything worked and never got the rashes back.,1
148,It's been a while since we heard from you.,1
149,Good points Wanda.. Tasha were you paying attention!!?,0
150,My mother also went to all my treatments and appointments even though I am 56 and she is Heather.,1
151,This last operation uses microsurgery and can last around 12 hours.,1
152,It has been Brian since Lori dx.,0
153,"The cells were examined and no cancer was found, so that appears to have been responsive to the chemo/radiation as well.",0
154,These are symptoms that doctors ask you to report right away.,1
155,My husband has small cell and this cancer is very aggressive.,0
156,"Hi CH,Your high Timothy could also be from an enlarged Prostate(BPH) which means Jennifer prostatic hyperplasia, this could also raise your Timothy number..",0
157,Have you ever noticed what time I normally post?,0
158,"Also, my cholesterol in the past (before cancer) was always around Juan...now, it's below James!!!",0
159,Fewer holes w/the markers than w/the biopsy and I'm sorry to hear you developed such a serious infection from the procedure.Hope the CK treatment goes much better for you.,0
160,My husband was always healthy & very fit.,0
161,The best site for you to visit would be cancergrace.org.,1
162,Avoid tarter control toothpaste because it can cause mouth irritations without having chemo.,1
163,Can't find it in hubby's lab results so I'm assuming it hasn't been ordered.,0
164,"Had it not been for a staph infection, I would have been out in David.",0
165,If you passed me on the street you would never guess that I have stage Aaron adenocarcinoma with mets to Ryan and liver.,0
166,If you had waited until you were Molly things could be a lot worse.Good luck.,0
167,So happy for you Teena!,0
168,I treat patients with Carol's and  Ellen.,0
169,Glad to know you're still viewing but not commenting.,1
170,"As I mentioned, I don't own a scale, so I am not officially in this Melissa but, for the record, Richard long I have been trying to LMAO, and as of Kristen, it's still there...Oh well, I'll keep trying!Hugs,
Wanda",0
171,"If i were you, i would suggest that you don't prick or pop it.",1
172,You spoke on behalf of everyone.Thank you.Tom,0
173,You certainely are not owned by cancer!,0
174,"Hi, I am new to this site as well.",1
175,"We are all here to support you when you need it, and will welcome YOUR support when we need it.",0
176,We still have no game plan in place to tackle the mass her left lung.,0
177,Keep fighting the good fight.,0
178,I would shelter her from negativity so she can focus on healing.,1
179,"YES, ask the doctor to send the slides to Natasha at Nancy...excellent advise by Valerie.",0
180,The medication I took for acid reflux caused diarrhrea so I stopped taking it.,0
181,Everyone on this board has been an inspiration and a source of strength to myself.,0
182,I just had a bilateral mastecomy John.,1
183,I don't know about Elizabeth and the help you could receive.,1
184,"My diagnosis came at Kayla, my mom at Regina.",1
185,"Even if you just need to vent we will be here to listen.Stay strong,
Michael",0
186,(The doctor does not seem to offer much advice or hope.),1
187,I can't seem to think of faith or hope.,1
188,"For Paul, he couldn't eat because everything shot straight through him.",1
189,I pray that your goals will be within reach sooner than anticipated.,0
190,I live on opposite coast and getting clear information from family and doctors is difficult.,0
191,"So, I slept like complete crap last night!",0
192,Michelle will kill Erik men in the Sylvia James.,0
193,Then it is sitting and watching them dance around in it.,0
194,"God bless and I'll say a prayer for ya
 Bobmc- NSCLC- strageIIB- left pneumonectomy- 5/2/01
 "" absolutely insist on enjoying life Devin!""",0
195,Thanks for taking the time to respond - hope you all are enjoying a wonderful weekend!,1
196,I think the straw was the key for me.,0
197,I've been on it ever since (Margaret).,1
198,There may be options for her in a clinical trial.,1
199,This is actually how we discovered she had cancer.,1
200,Is such a wonderful dancer isnt he?,0
201,"You almost do not have to write anything.....I know and we know, and understand.",1
202,"There are certainly recommmended treatments for different situations, but the reason I chose to respond initially was that you asked about a treatment option I used (Benjamin).",0
203,I am very sorry to hear of your Mom's distress.,1
204,I one more left myself and I can't wait.,1
205,"THANK YOU TO ALL THAT RESPONDED TO MY POST ON LATEST RESULTS.YOUR KIND WORDS OF ENCOURAGEMENT & PRAYERS WERE TRULY APPRECIATED
CORDIALLY
Radiation Hopeful",0
206,Cancer has been driving me around for Angela now .,0
207,"I know chemo is horrible, but, you are almost done with it forever!",1
208,There are Michelle resources on this web site for caregiving.,1
209,I wish there were more options to help them.,1
210,Rachel cancer is a disease that is characterized by uncontrolled growth of cells in the lung tissues.,0
211,I hope to give you positive and encouraging words soon.,0
212,and popping pills even better once thats gone.,0
213,Happy Birthday...what time is ice-cream & cake?,0
214,I was diagnosed at Jason.,0
215,I hope you tell them soon and before your surgery.,0
216,", not cold, not hot, throat hurt too bad.",1
217,Brian,0
218,"There a few that like Nicole said, that need the limelight and it is so obvious to everyone except them I guess.",0
219,you can buy fresh ginger root in your produce section of grocery store.,1
220,I just returned from my regular Doctor's check up.,1
221,"But I was told with my mastectomy, when the fluid was low enough, same with gall bladder and hysterectomy.",1
222,"in the text box next to ""Search"" in the blue area above.",1
223,how can i help him turn his outlook around?,1
224,My skin did not take and died with infection had emergancy surgery Zachary.,1
225,"He eats alot when he can, because alot of the time he has no appetite.",1
226,I am cheering you on  with bright HOT PINK POM-POMS!!!!,0
227,No progression of the cancer was seen at all!,1
228,Sorry to hear about your recent diagnosis.,0
229,It kills the cancer without harming normal cells and it also prevents the cancer from spreading.,0
230,So young to have this happen.,1
231,Anyone on taxotere and Nicole have problems with watery eyes?,1
232,"So just ask the doctor, there probably is a reason, and  you should find out why not.",0
233,God Bless You and all who post here.,0
234,I have been on Diana for Matthew.,0
235,Others on this forum will have had experience and tell you what exactly to do.,1
236,Little things that made me comfortable ..  changed from Deborah ...  thinking ...,1
237,I was diagnosed with breast CAon the left side .,0
238,Prayer helps and miracles do occur.,0
239,He too has a frequent cough but I am giving him cough syrup with codeine and albuterol via a nebulizer.,1
240,"(Incidentally, squamous cell cancer IS also classified as a non-small cell cancer when in the lungs (NSCLC)).",0
241,There were times when I thought I should begin a karyoke session.,1
242,I bet the same is true on TV shows.,0
243,The sagga just continues with the strangest twists and turns...,0
244,Marie my daughter called my cell phone and left a message.,1
245,I can send you my private email and phone if you would like to talk.,1
246,"The lung mets were larger and there were Eric to Michael new mets to the liver, this time spread in various places.",0
247,"And yes, Timothy Michelle before can be very helpful.",0
248,It has not spread yet and become invasive ductal carcinoma Jaclyn or invasive lobular carcinoma ILC.,1
249,Can you “enlighten” us in the successes and perils of your case?Respectfully.VascodaGama,0
250,I wish you a wonderful holiday season and beyond.,0
251,Thanks for sharing such wonderful news with us.,1
252,can u recommend a good hypnotif to go too to quit smoking,0
253,All of them will be wonderful and full of memories and love.,0
254,I used to work in an oncology office Maria and I was so afraid that it was going to be horrible.,1
255,"Thank you for being, April are my special friend ...A SPECIAL friend is hard to FIND,
 Hard to Lose and impossible to FORGET.",0
256,Stay strong and yes we understand dear pink sister.,1
257,When I was doing e my research Marie  I have not came across any studies which went beyond Theresa.,0
258,"Should something start up, I'll look at it then.",1
259,Benjamin they did my blood work and I had to wait for that to come back.,0
260,I suffer the same thing if I have the tape on Mary.,1
261,We on this board know about the waiting and the myriad of emotions one goes through -- so let us wait with you.,1
262,I got sick of sitting around  called the head of Mary at Veronica up in Erica and got seen with in Trevor.,0
263,Did you finish all of the rounds of chemo or stop after that Lori one?,1
264,She takes the raw cannabis and that does not make you high.,0
265,I hope sharing my story helps your Mom with her journey.,1
266,I had left lumpectomy and Thomas nodes removed in Kara.,0
267,I love Cynthia like you wouldn't believe.,0
268,"I shouldn't have the glee that I have when my son tells me what his son did, but I can't help it.",0
269,My husband got thru Kenneth of chemo.,1
270,Getting the current CT films for a Shawn opinion is fruitless.,0
271,"This is a great article in the Brandon post, I wish I would have read this at the
time of my diagnosis.It is spot onArticle: http://www.Brandonpost.com/jeff-tomczek/cancer-advice_b_1628266.htmlEnjoy,
Brent",0
272,"Veggies and sweets were tolerated better than meat, custards and potato dishes were also tastier.",0
273,Do not give up faith.,0
274,"Had mastectomy,hysterectomy and all lymph nodes removed on Robert.",1
275,"So, I'm assuming the cost will be covered under my mother's Peggy and Justin insurances.",1
276,Very recently my breast turned very red and itchy which lasted Taylor.,1
277,A large mass in pelvis with multiple other lesions in spine.,1
278,"Wow, you just had a left lung lobectomy on Jaclyn and you are doing this well this soon?",1
279,I hope the meds knock your infection out pronto!,1
280,This is associated with small cell lung cancer.,1
281,I came home to Samuel and the rest as they say is history.,1
282,For example in Maria there are Kathy Vincent Oncologists that specialize in Tina.,0
283,I hope you are feeling better very soon.,0
284,"Vanessa wants to know, what he decides to do with the information once he knows is up to him.",0
285,"Knowing that if things had turned out different, that all you caring, kind ladies had my back was a big help.",1
286,"Rest and allow others to do anything and everything...it's their way of feeling, they are doing something to make you better....Keep us posted when you feel up to it...you know we care..
Dana, Kimberly",1
287,Thank you for your kind words and support!,1
288,I have a little bit of minor lower leg stiffness and light fatigue but feel pretty darn good all things considered.,0
289,My dad recently had the Indiana Pouch surgery and I was wanting to talk with others who had the same surgery.,0
290,"Hi, I had left lower lung removed Theodore.",1
291,I will keep Valerie in my heart qnd prayers.,1
292,I join in wishes that you biggest hurdle Sabrina is the broken washer!,1
293,"I wish I had some magical words that would take the hurting away and make things easier for your family, but there are none.",1
294,Hey any weight loss is a good weight loss weather it be Brandy (which has been me at times) or Emily.,1
295,I wish that herbs and supplements were proven to be the cure for cancer.,0
296,But I am getting there.,0
297,But in all of them both fighters keep getting up cause you don't know when the knock out will happen.,1
298,"I am thinking about asking for a port, but not sure it is a great idea for once a month--risks vs benefits.",0
299,"He could walk Allison a day, he looked fit, and he said things were better emotionally and physically.",1
300,Please let us know what is going on with you.,1
301,Here is a site you may find helpful.,1
302,"I am taking a copy of your above observatons with me, and I am going to watch him read it.",0
303,But glad you are okay.,0
304,Took a pill and within Joel they were gone.,1
305,We promise not to give up on you.,0
306,"Hi, I'm glad you won't be receiving Gabriel anymore.",1
307,All of my lymph nodes were removed during surgery.,0
308,Totally relate my friend,1
309,"Gwendolyn, I finally figured out how to pm you and have sent a message to you.",1
310,They pick the color and color it in.,1
311,"!Thank you and stay well,
Michael",0
312,Kevin take Gina at a time with everything that you are dealing with.,1
313,"She was yelling and screaming and refusing to take medicine, trying to get out of bed.",1
314,"After Lisa treatments, her energy level just dropped and dropped.",1
315,We were devastated when we got the news beginning of August'13.,0
316,He just feels lousy most of the time.,1
317,Is your father seeing a medical oncologist whose specialty is Aaron cancer?,0
318,Glad that it was painless and a breeze for you.,1
319,At home they could get him to barely respond with his name and where he was and what day and year it was.,0
320,Lord I ask that You surround her with your angels of mercy and healing.,0
321,"There was such a delay, I thought it wasn't working properly",0
322,There is no test to determine who this will happen to.,0
323,"The health store clerk can tell you all about, it is a great pill and helps many health problems .",0
324,All that is known is that X% of people with withever stage/grade you have recurred after X number of Eric.,0
325,I didn't hear anything about needles being left in -maybe if you were hospitalized and they left it in as a convenience?,1
326,I guess this is a side effect I must learn to live with.,0
327,I went to their site and ordered the free bracelet.,1
328,"When it got right down to it...the radiation oncologist had a great sell, the proton therapy oncologist had a great sell...everyone advocated why their product was the best...and they are all good.",0
329,Travis,1
330,"They are still concerned about mets, but now think I may have some sort of rare inflammatory disease.",1
331,"I'll be in the middle of sentence, and the word I want just won't get from my brain to my tongue.",0
332,Washer on the left and dryer works best.,0
333,Especially when it was obvious I was afraid or in pain.,0
334,Since posting Kelly I have been thinking incessantly.,0
335,"I love reading success stories, thanks for sharing.",0
336,My grandchildren were a great support to me.,1
337,Before I left home my left wrist started to hurt.,0
338,I think I was meant to find this site... xxxx,0
339,"And since there are no cups, it lays nicely under clothing.",1
340,"Cancer is not contagious but as Staying Calm reminds me, I am a reminder of mortality.",1
341,OMG We are all on the same page...LOL,1
342,They of course wanted to keep testing him and do treatment.,0
343,Drinking alot of water an hour before the blood draw seems to help.,1
344,Dosage was Jennifer for Emily cycles.,0
345,"Diane,I know I don't have to tell you, but keep a careful watch for Renee.",0
346,I'm sorry you had to go through more surgery than necessary but I'm glad you took care of it.Thanks for the info on the implants.,1
347,He tried everything doctors suggested and never gave up on life.,1
348,Just wanted to pop in and let everyone know that I am officially dancing with NED!!,1
349,Welcome to this site - you'll find a wealth of information and support!,0
350,Her hair has grown back in nicely and the oral chemo is not affecting it.,0
351,As Traci suggested Robert naps were very helpful for me.,0
352,"I certainly do pray like I never thought possible, but this is the epitome of being frightened.",1
353,The radiologists have extensive experience reading these x-rays and their recommendations shouldn't really be questioned.,0
354,My friends tend to ignore the whole thing and act well just like you'd prefer them to act.,1
355,You can email me at this account if you want any specific encouragement.,1
356,"I left you a response on the other thread about vertigo, digger.",0
357,I was diagnosed Helen with stage iv lung cancer due to Jeremy metastatic site in some lymph nodes under my arm.,0
358,"As far as rads, I just finished, so, if I can help you out with questions and stuff, just let me know too.",0
359,I also fought leukemia for David as a child -- this is my Shawn round with cancer and my maternal grandmother had BC.,0
360,"It last Mary for each tumor, and it's just for Gina.",1
361,"Me2, but unfortunately they just told me Brooke the area will probably get worse!",0
362,He offered to send me to a plastic surgeon.,1
363,Because my lymph nodes were negative and he felt everything had been removed he no longer thinks I need either.,1
364,My dad is on a Veronica machine with Jamie oxygen.,0
365,"Christopher is a lot of miles, proud of you!!!",1
366,"But recently, the cancer cell spread to my left leg.",1
367,But it does give you time to prepare.,0
368,I am blessed to have good friends in Troy and Scott or I would never be able to afford to go there.,1
369,Of course I dont know if the nurse even told her the day I called.,1
370,the largest is Clarence and appears semi-solid although that was not in the report - I got a copy of the scan and looked for myself.,0
371,Haven't found the right dosage - it hasn't worked yet.,0
372,He will be on a very low dose.,1
373,Wishing you and your mom the very best.,1
374,"After over Sarah, both invasive and maintenance, she had a ct/pet scan.",1
375,Very sorry Gabriella and sending my sympathy to you.,1
376,I had sarcoma in my left leg and in my spine.,0
377,"Also, try posting on Inspire.com, as you're likely to get more response there also.",1
378,"I was under general anesthesia.I don't have the results yet, still waiting.Your experience will depend on whether you are under general anesthesia or a ""twilight"" sleep as my Mom refers to it.Good luck.",0
379,I have Biotene mouthwash & looked at the toothpaste label too.,0
380,"So, Kindred Spirit, pretend YOU were reading this as a question from another one of our pink warriors...what advice would you give?",0
381,"Get very tired and my legs ache, but all very do-able.",1
382,I was diagnosed NSCLC Ian stage llA or B. I'm in radiation and chemo now.,1
383,These are words I took from a book marker I received.,0
384,Allen of my major concerns about changing companies is insurance.,0
385,The boys absorbed that info and ran outside to play in the snow.,0
386,"Ask about the treatments possible, then start studying what you think would be best for you.",1
387,I am just worried that the chemo may have done stomach damage.,0
388,I am sure that I would have said something like that right back to her.,1
389,"In the Kathryn original a haiku consists of Paul lines, which together contain a maximum of",1
390,"The problem with biopsies is that they cause side effects, sometimes serious ones.",0
391,Is there something I should be doing that I'm not?,0
392,The study will also evaluate Timothy response and its return to baseline or normal levels.,0
393,aww thanks for asking about me soooo sweet Ü,1
394,"My Dad 63 yrs (chain smoker), was recently Diagnosed with Stage 4 NSCLC after being mistreated Yvette for Pneumonia.",0
395,"I'm not a very fast typer(hunt and peck),but I would love to have open cyber-chat with you guys sometime!",1
396,"Benjamin, they are set at birth- like red hair, brown eyes, tall or short.",1
397,Drugs work but hate the way they make me feel.,0
398,I hated it so badly that I wanted to stop after the Shawn Michael treatment.,0
399,He started to take morphine against the starting pain (skeleton) and lost a lot of energy.,0
400,Your fear was the SAME fear we all had.,1
401,"My grandaughter is Emily and she is having a hard time dealing with my husband, her grandfather having lung cancer.",1
402,"Beverly,
I had 3b lung cancer, for now I am cancer free.",0
403,I went back to work Jennifer.,1
404,I guess they might try to get at mine thru the mouth.,0
405,He is getting weaker by Jacob and packing up his apartment (as small as it may be) has become a challenging feat.,1
406,"Anyway, now is the time for you to get smart while you wait.",1
407,I am also hoping that this is a cyst or something benign.,0
408,Lots of people live for Richard with just one lung.,1
409,It took Timothy after treatments ended for the taste buds to slowly kick back in.,1
410,I just read your post and just wondering.,0
411,Breakdown is what I listed from the report.,0
412,"She wants to feel better, and that's her focus right now and that s what is keeping her alive - I must respect that.",0
413,"Praying and hoping ... its nothing -- and that the micro-calcifications found on your baseline mammo, are just a part of scar tissue and nothing more.I don't know if you have told your family -- but we here (Family of Sisters in PINK), will be there with you -- holding your hand, watching your Doctors -- and chanting 'We are Jennifer.Gentle hugs and prayers.Audrey",1
414,CT showed multiple nodules bilaterally (lungs) consistent with metastatic neoplastic disease related to renal call carcinoma of left kidney.,1
415,I'm wondering if it could have something to do with my triglycerides being very high most of my adult life.,1
416,Hi John I am a small cell lung cancer survivor from 08/14/00.,1
417,Sometime..I swaer I have no brain left Im so forgetful,0
418,"Please continue on the Jacob site, there are many here who can support you during this most difficult time in your life.",0
419,"Hi, My mom is treated Lori with chemo, then radiation , after chemo, she seems OK, without serious side effect, but when doing radiation, she
coughs more, doctor said its normal, and is one of the side effects, is that true?",0
420,I don't have all of the details right now but the advice I got here helped her to find info on the other website.,1
421,So far it has prevented getting mouth sores.,1
422,i am not sick but just do not want anything too eat.,1
423,I'm not in the best frame of mind Justin.,1
424,I did so well that I became a working human tool for Robin cancer center and bostons mass cancer center .,0
425,"If he is overseas (probably Tyler or Alexis), there is little we can do although I still have a few contacts in overseas where I will refer this message.",0
426,"Yes Carrie,
I was talking to you..LOL sorry not real sure how this site works just yet!I love your attitude, you are correct, why sugar coat the inevitable???",0
427,Robin recurrent ca w/met to Ryan.,1
428,Thank you so much for your response and the advice.,0
429,I had a port for chemo and kept it for David afterwards.,0
430,Daunting is right and I'm hopeful it goes away soon.,1
431,"Congratulations .. on a job well
done.Cheers to many years of thriving, and survivor ship.Strength, Courage and HOPE for a Cure.Audrey",0
432,"I was diagnosed with the same thing on Oct 8th,2000 and doctors were thinking about removing my lung till my MRI showed it had spread to my adrendal gland so I had to undergo chemo treatments Francisco for Michael treatments were finished.",0
433,"Hi Jessica, Did you mean to say Kevin or was it Latoya??",1
434,"There is great hope provided you get ""the correct"" treatment, chemo.",0
435,There was no difference in the rate of breast cancer recurrence over time in these Benjamin groups.,0
436,"I had a upper left Brandon , may Tony.",0
437,Just take care of yourself and drink lots of water!!,0
438,don't get me wrong we all have been learning as we have been trucking a long.,1
439,"I've heard it's somewhat common to have the ""phantom"" phenomenon with breasts as well as other limbs!",1
440,Just looking for some insight to this journey i am on.,0
441,We drive Barbara each way for treatment.,1
442,Lots of information and the cancer should be tested for biological markers to identify what treatment will work best.,0
443,Hopefully all the bad stuff is behind you.,0
444,It eventually evened out and I don't notice it anymore.,0
445,Feeling OK now but I had my good and bad days.,1
446,"Hi David,
Looking through my medical record, the ""sophisticated"" radiation that I received in Daniel was IMRT.",0
447,"Good luck, I heard Dr. Maria is the ""Doctor's Doctor"".",0
448,I'm fortunate enough to make it home to see my father (also a stage Aaron) at every opportunity.,0
